REGISTRATION_DATE,44,88,45,46,47,48,49,50,51,52,53,10,54,11,55,12,56,13,57,14,58,15,59,16,17,18,19,1,2,3,4,5,6,7,8,9,60,61,62,63,20,64,21,65,22,66,23,67,24,68,25,69,26,27,28,29,70,71,72,73,30,74,31,75,32,76,33,77,34,78,35,79,36,37,38,39,80,81,82,83,40,84,41,85,42,86,43,87
8/30/2018,1,6,93,6,209,37,7,48,3,12,12,9,2,1,13,10,1,23,59,7,,5,6,,8,453,4,3,8,5,3,51,12,1,5,82,4,1,2,3,5,1,23,7,9,2,23,30,1,2,406,1,4,,12,28,8,4,9,7,,2,163,2,8,53,3,85,2,29,5,35,4,2,1,13,6,2,2,35,2,1,,15,1,1,12,26
9/25/2017,15,2,27,11,105,29,3,24,5,15,1,6,8,3,19,17,3,25,44,5,6,10,8,2,12,140,5,7,4,1,18,5,7,3,2,34,17,5,2,1,2,3,36,10,5,7,32,22,2,2,166,3,3,3,3,16,34,10,6,3,2,2,124,6,12,38,5,40,1,20,2,8,2,3,3,11,4,3,2,31,6,,7,21,8,4,25,40
3/14/2018,1,,26,1,80,45,15,99,6,6,,4,29,7,10,16,1,75,60,12,1,13,9,10,3,213,3,,6,5,1,4,8,10,14,85,6,1,8,3,14,4,103,9,20,1,38,44,8,3,118,6,11,,8,24,13,3,6,1,2,4,93,2,15,147,4,41,5,29,4,9,3,4,2,21,32,9,3,97,3,2,4,23,4,1,25,54
2/24/2019,,,3,1,5,5,,3,1,7,,,1,,1,4,,6,6,1,,3,1,,1,25,2,,,,,,1,1,1,13,2,1,1,,,,8,1,1,,4,4,1,,14,,,,,4,6,,1,1,2,,7,3,3,7,,4,,11,,,1,,1,1,2,,,2,2,1,,1,1,,1,5
3/31/2017,7,,5,3,12,22,5,81,,3,2,2,11,1,4,8,1,15,44,3,,12,4,,3,86,9,,1,4,11,4,,4,3,39,5,,3,1,5,2,15,1,3,1,24,12,3,4,80,4,2,11,1,13,10,4,2,5,,6,93,,5,42,2,32,,26,4,3,,2,,2,5,,1,46,1,28,7,15,4,8,13,10
9/8/2018,,1,2,2,19,17,5,17,3,9,5,,5,1,11,9,1,36,35,5,1,6,8,1,3,67,2,,5,4,2,,2,4,,37,2,1,3,,6,1,23,4,5,1,21,9,,,65,2,2,,2,28,13,2,2,5,2,6,69,3,12,41,5,46,,20,,2,2,3,,,3,,,27,3,,3,8,3,3,5,8
4/27/2017,7,,2,10,8,15,,26,7,19,,1,6,3,1,8,,18,20,1,1,6,7,,1,126,2,,2,2,,3,1,4,2,26,4,,,2,1,,11,1,5,1,16,8,,,15,,3,,2,6,10,1,,,,,37,,7,27,,21,,13,2,6,6,1,2,4,7,1,,17,2,1,2,4,2,5,2,5
10/14/2017,1,,3,2,2,15,3,3,2,3,,,4,1,4,6,2,17,32,6,,,8,,,34,,,2,3,2,4,1,2,2,16,2,,2,1,2,1,15,,2,1,7,8,1,2,25,2,2,1,1,7,9,3,,,,,29,1,2,23,1,16,,15,,3,,,2,2,4,,,12,2,,,1,2,1,4,3
10/5/2018,18,,79,12,99,100,17,68,15,107,5,2,7,10,41,49,5,125,181,24,5,41,17,19,8,678,9,6,21,9,15,84,13,27,15,160,15,5,13,4,7,22,127,21,30,4,89,46,6,19,438,7,9,3,15,79,53,25,14,21,8,11,428,17,29,170,3,196,2,63,12,26,7,10,8,26,27,25,5,95,13,22,14,50,20,2,113,63
3/13/2018,2,2,21,10,67,74,9,24,7,46,1,5,9,9,11,13,1,26,69,5,5,9,8,,13,617,2,1,2,8,5,1,18,5,12,31,5,,7,,2,8,54,8,5,3,30,29,16,1,106,1,5,1,18,26,8,4,2,3,4,3,85,2,9,130,2,47,2,29,,5,6,3,1,4,14,8,,30,4,2,4,15,4,2,21,15
4/28/2017,4,2,2,1,2,22,2,7,3,4,,,1,3,1,8,,19,29,4,,3,6,,2,89,2,,2,1,2,3,3,1,1,21,4,,3,,4,,9,2,2,2,13,11,1,,28,1,1,,5,7,5,7,1,1,,1,31,,5,32,,15,,16,,8,,3,1,5,4,,,15,3,,2,3,2,,3,21
3/5/2019,,2,22,14,9,26,3,24,10,29,,4,7,,7,11,,34,38,5,,8,7,1,5,98,13,1,11,3,15,1,4,5,10,14,1,,5,1,1,3,24,1,4,3,17,14,,,193,,2,7,2,16,26,3,3,2,1,5,57,,13,45,4,26,1,25,3,6,5,3,3,8,6,4,2,14,4,4,4,7,14,2,23,14
8/11/2018,1,1,5,6,9,17,3,16,5,3,,,6,3,11,14,,19,23,2,1,5,6,,3,45,,,1,1,2,5,6,2,2,23,1,,2,3,1,2,14,3,4,,17,9,,2,28,,,,3,19,4,3,,4,,3,36,2,9,111,,27,,39,1,3,6,3,1,6,6,1,,19,1,1,3,9,1,,3,11
3/22/2017,2,1,6,4,9,38,3,22,3,12,9,1,6,3,18,6,2,18,42,4,,6,1,,4,162,,1,9,7,21,4,4,2,3,51,1,1,3,,,1,23,4,2,3,31,14,1,1,67,4,2,6,13,5,13,,5,2,1,3,51,1,13,63,2,44,2,12,3,3,,1,1,6,8,10,,42,1,,2,6,,2,9,18
12/15/2017,3,,19,,13,25,4,14,5,9,,,2,,3,5,,29,37,3,,2,2,1,1,47,2,,3,1,18,2,2,2,1,12,3,1,2,,5,2,7,2,3,3,21,6,,3,101,1,3,,7,20,12,2,6,8,,1,43,3,9,44,2,21,3,14,,11,2,1,,2,4,,,26,,11,,2,,3,19,31
1/11/2017,1,,6,2,1,57,3,3,1,9,,1,3,1,4,4,,20,25,3,,2,3,,,49,,1,1,5,1,1,2,3,1,24,4,,4,,2,,12,2,,3,6,10,9,1,115,,1,,3,10,19,,10,2,1,,47,1,12,22,1,20,1,11,3,1,1,1,,4,6,1,,25,,,3,4,1,3,2,20
7/15/2017,1,,3,3,4,5,,3,1,1,1,2,1,2,5,8,,12,23,1,,2,3,,1,19,,,2,,,,4,,2,12,,1,1,,4,,13,1,1,,10,6,,1,14,1,1,,,8,,,1,,,3,33,1,3,18,1,17,,6,,3,1,3,3,2,6,,2,21,,3,3,2,3,,2,4
11/28/2018,5,,4,2,10,12,3,6,5,7,,2,2,3,7,4,,21,20,4,,6,1,6,4,185,,1,2,,12,2,4,,2,29,1,,5,,1,2,15,5,2,2,7,19,2,,221,,2,5,2,9,28,3,3,7,1,4,38,20,5,31,4,21,,664,6,3,3,3,1,4,9,1,,16,,,6,11,1,16,15,3
12/25/2017,,,1,,,,,,,,,,,,1,1,,1,4,,,,,,,3,,,,,,,,,,5,,,,,,,,,,,,,,,2,,,,,,,1,,,,,2,,,,,1,,1,,1,1,,,,,,,3,,,1,,,,,
6/10/2018,,,3,1,3,1,,3,,2,,,,,2,,,5,2,,,,1,,,15,,,,2,,,1,,,2,1,,,,,,4,,,,,1,,,5,,1,,2,3,2,,,2,,,2,,,5,,3,,6,,,1,,,,,,,1,1,,,,,1,3,2
5/14/2019,1,6,2,,9,23,1,11,12,7,,,3,6,10,6,,15,29,3,,8,6,,3,122,10,,,9,1,2,1,1,4,9,,,1,,1,3,10,3,,,8,10,2,3,9,4,3,1,1,9,20,,,2,4,9,42,,4,25,1,26,4,18,1,3,2,3,,2,7,,,20,5,1,1,4,1,3,6,15
2/2/2019,,,5,2,6,13,1,1,2,2,,,4,1,4,5,,14,19,,,4,2,,1,40,2,,1,,4,3,1,1,,9,2,,,,6,2,14,3,1,,9,8,,1,25,2,,,2,10,6,1,1,3,,4,27,1,6,29,1,19,1,8,2,2,4,1,,3,4,1,,15,3,2,,15,2,1,11,4
4/13/2018,3,1,1,7,22,13,5,8,7,7,,3,4,2,7,5,,31,51,3,1,4,,1,1,90,4,1,1,7,1,1,,3,5,18,2,1,5,2,4,,27,1,,2,14,7,1,,20,1,6,1,5,15,4,3,,4,1,5,36,3,8,31,1,28,1,40,2,9,1,2,1,5,9,,3,27,1,12,12,9,1,3,7,14
5/31/2017,4,1,38,,12,26,5,12,7,11,,1,4,4,5,8,,23,35,2,,3,4,,2,83,4,,21,3,34,2,3,4,3,31,1,,4,1,2,8,17,4,1,1,9,12,2,1,68,3,4,,10,11,5,3,6,3,,3,55,1,6,26,2,27,,13,2,8,1,4,1,3,8,,1,27,1,1,2,4,6,2,4,17
7/11/2018,,4,7,6,18,28,6,12,6,48,1,,4,2,8,17,1,23,38,4,,2,8,7,5,84,1,2,20,,1,10,3,9,1,39,7,,4,4,3,3,26,8,17,7,18,14,4,6,51,4,5,2,12,31,9,12,13,7,1,2,39,3,12,29,4,55,3,19,1,12,3,5,5,6,14,6,1,19,4,4,5,15,3,9,39,9
11/5/2018,8,6,20,12,71,77,9,29,13,71,3,1,16,,26,18,2,71,89,5,1,19,10,,11,335,6,,11,8,9,7,5,10,9,127,15,2,10,7,9,5,51,11,7,2,44,23,2,4,203,5,7,2,13,32,36,5,7,6,6,1,157,9,16,116,3,110,3,46,8,13,9,2,2,16,16,3,1,59,5,8,7,34,19,3,40,36
